Unnamed: 0,id,County,Estimate!!Gini Index,year,FIPS_code
0,0500000US25001,"Barnstable County, Massachusetts",0.4542,2019,25001
1,0500000US25003,"Berkshire County, Massachusetts",0.4621,2019,25003
2,0500000US25005,"Bristol County, Massachusetts",0.4579,2019,25005
3,0500000US25007,"Dukes County, Massachusetts",0.499,2019,25007
4,0500000US25009,"Essex County, Massachusetts",0.4816,2019,25009
5,0500000US25011,"Franklin County, Massachusetts",0.4541,2019,25011
6,0500000US25013,"Hampden County, Massachusetts",0.4731,2019,25013
7,0500000US25015,"Hampshire County, Massachusetts",0.4532,2019,25015
8,0500000US25017,"Middlesex County, Massachusetts",0.4638,2019,25017
9,0500000US25019,"Nantucket County, Massachusetts",0.4936,2019,25019
10,0500000US25021,"Norfolk County, Massachusetts",0.4766,2019,25021
11,0500000US25023,"Plymouth County, Massachusetts",0.4539,2019,25023
12,0500000US25025,"Suffolk County, Massachusetts",0.5327,2019,25025
13,0500000US25027,"Worcester County, Massachusetts",0.4551,2019,25027
0,0500000US25001,"Barnstable County, Massachusetts",0.4589,2018,25001
1,0500000US25003,"Berkshire County, Massachusetts",0.4645,2018,25003
2,0500000US25005,"Bristol County, Massachusetts",0.4563,2018,25005
3,0500000US25007,"Dukes County, Massachusetts",0.502,2018,25007
4,0500000US25009,"Essex County, Massachusetts",0.484,2018,25009
5,0500000US25011,"Franklin County, Massachusetts",0.4533,2018,25011
6,0500000US25013,"Hampden County, Massachusetts",0.4704,2018,25013
7,0500000US25015,"Hampshire County, Massachusetts",0.4621,2018,25015
8,0500000US25017,"Middlesex County, Massachusetts",0.468,2018,25017
9,0500000US25019,"Nantucket County, Massachusetts",0.4775,2018,25019
10,0500000US25021,"Norfolk County, Massachusetts",0.4774,2018,25021
11,0500000US25023,"Plymouth County, Massachusetts",0.4494,2018,25023
12,0500000US25025,"Suffolk County, Massachusetts",0.5365,2018,25025
13,0500000US25027,"Worcester County, Massachusetts",0.4553,2018,25027
0,0500000US25001,"Barnstable County, Massachusetts",0.4602,2014,25001
1,0500000US25003,"Berkshire County, Massachusetts",0.4723,2014,25003
2,0500000US25005,"Bristol County, Massachusetts",0.4541,2014,25005
3,0500000US25007,"Dukes County, Massachusetts",0.4654,2014,25007
4,0500000US25009,"Essex County, Massachusetts",0.4761,2014,25009
5,0500000US25011,"Franklin County, Massachusetts",0.4257,2014,25011
6,0500000US25013,"Hampden County, Massachusetts",0.4668,2014,25013
7,0500000US25015,"Hampshire County, Massachusetts",0.4529,2014,25015
8,0500000US25017,"Middlesex County, Massachusetts",0.4728,2014,25017
9,0500000US25019,"Nantucket County, Massachusetts",0.4697,2014,25019
10,0500000US25021,"Norfolk County, Massachusetts",0.4757,2014,25021
11,0500000US25023,"Plymouth County, Massachusetts",0.4409,2014,25023
12,0500000US25025,"Suffolk County, Massachusetts",0.5299,2014,25025
13,0500000US25027,"Worcester County, Massachusetts",0.4461,2014,25027
0,0500000US25001,"Barnstable County, Massachusetts",0.443,2010,25001
1,0500000US25003,"Berkshire County, Massachusetts",0.462,2010,25003
2,0500000US25005,"Bristol County, Massachusetts",0.442,2010,25005
3,0500000US25007,"Dukes County, Massachusetts",0.461,2010,25007
4,0500000US25009,"Essex County, Massachusetts",0.471,2010,25009
5,0500000US25011,"Franklin County, Massachusetts",0.411,2010,25011
6,0500000US25013,"Hampden County, Massachusetts",0.459,2010,25013
7,0500000US25015,"Hampshire County, Massachusetts",0.435,2010,25015
8,0500000US25017,"Middlesex County, Massachusetts",0.461,2010,25017
9,0500000US25019,"Nantucket County, Massachusetts",0.547,2010,25019
10,0500000US25021,"Norfolk County, Massachusetts",0.47,2010,25021
11,0500000US25023,"Plymouth County, Massachusetts",0.425,2010,25023
12,0500000US25025,"Suffolk County, Massachusetts",0.518,2010,25025
13,0500000US25027,"Worcester County, Massachusetts",0.433,2010,25027
0,0500000US25001,"Barnstable County, Massachusetts",0.4502,2011,25001
1,0500000US25003,"Berkshire County, Massachusetts",0.4754,2011,25003
2,0500000US25005,"Bristol County, Massachusetts",0.4459,2011,25005
3,0500000US25007,"Dukes County, Massachusetts",0.443,2011,25007
4,0500000US25009,"Essex County, Massachusetts",0.474,2011,25009
5,0500000US25011,"Franklin County, Massachusetts",0.4145,2011,25011
6,0500000US25013,"Hampden County, Massachusetts",0.4585,2011,25013
7,0500000US25015,"Hampshire County, Massachusetts",0.4411,2011,25015
8,0500000US25017,"Middlesex County, Massachusetts",0.4637,2011,25017
9,0500000US25019,"Nantucket County, Massachusetts",0.512,2011,25019
10,0500000US25021,"Norfolk County, Massachusetts",0.4711,2011,25021
11,0500000US25023,"Plymouth County, Massachusetts",0.4278,2011,25023
12,0500000US25025,"Suffolk County, Massachusetts",0.5241,2011,25025
13,0500000US25027,"Worcester County, Massachusetts",0.435,2011,25027
0,0500000US25001,"Barnstable County, Massachusetts",0.457,2015,25001
